file_name,Q_port1,Q_port2,coupling_coefficient,bandwidth_13_Hz,bandwidth_23_Hz,group_delay_13_s,group_delay_23_s,min_insertion_loss_13_dB,min_insertion_loss_23_dB
device_0079__Sparams.csv,483.92592004442844,337.7415645997846,0.11114582079936,100000000000.0,70000000000.0,7.057356754734289e-12,2.8974051136998468e-12,-10.409579384618493,-10.49163440438073
device_0080__Sparams.csv,394.2000377980628,285.3016942960415,-0.24882873922459772,90000000000.0,100000000000.0,4.6376372175049205e-12,3.3556814261151745e-12,-6.641467171258583,-4.958898112083845
device_0081__Sparams.csv,457.7443713139041,278.624289128725,-0.25338339344628985,50000000000.0,100000000000.0,4.2223837265371065e-12,3.4678865910454154e-12,-9.299242342125307,-3.5218251767706805
device_0082__Sparams.csv,481.8839181179484,252.86510025234452,-0.19693482412166952,20000000000.0,90000000000.0,5.058664530563243e-12,3.175814429240909e-12,-11.906572574352756,-4.003826299329505
device_0083__Sparams.csv,552.2830860679262,359.6382147902044,-0.03551062518875057,20000000000.0,80000000000.0,5.658674085466985e-12,3.544547791230693e-12,-12.07293820446279,-6.457255744956395
device_0084__Sparams.csv,428.8781458774989,435.7535695813026,-0.8,100000000000.0,100000000000.0,3.3615156282948222e-12,2.207994667790037e-12,-4.753896489311463,-3.5218251767706805
device_0085__Sparams.csv,566.7889494232372,345.1324535152471,-0.0062435374004061964,20000000000.0,70000000000.0,6.0197670208803855e-12,3.818208032095808e-12,-13.252670038726535,-7.863735200201071
device_0086__Sparams.csv,550.7921246906727,339.6633039847897,0.035505203061991154,20000000000.0,70000000000.0,5.96489892317496e-12,3.5314412413663376e-12,-11.467497026039819,-7.30353335078925
device_0087__Sparams.csv,436.3171420221695,328.01718209550967,-0.4496163484261183,60000000000.0,100000000000.0,4.065767650382096e-12,3.1977220368139133e-12,-9.276027535253492,-3.5218251767706805
device_0088__Sparams.csv,438.4559633868745,283.6171248184067,-0.0038630287032647816,70000000000.0,90000000000.0,4.944225695553541e-12,3.855135903841901e-12,-7.576821038156304,-5.4323904616542285
device_0089__Sparams.csv,556.5575200048171,326.40931140861403,-0.027497040859901865,20000000000.0,80000000000.0,5.240312436337192e-12,3.5217956820878365e-12,-13.42145113162729,-4.7216013106045756
device_0090__Sparams.csv,498.78518565653906,403.0651535261452,-0.9996049667293839,100000000000.0,100000000000.0,2.928959383450275e-12,2.1744138087526404e-12,-6.306455934188159,-3.5218251767706805
device_0091__Sparams.csv,547.213570746354,352.74090192640415,0.0528213500601523,100000000000.0,70000000000.0,6.5360176646083934e-12,3.3307666138417762e-12,-10.74638958257022,-10.780207670714127
device_0092__Sparams.csv,541.7512684954006,350.63173101066343,0.05032134622472555,100000000000.0,80000000000.0,6.492220483473495e-12,3.260831009158922e-12,-9.693791714622934,-10.462263858789932
device_0093__Sparams.csv,567.9296734986432,367.5078514744319,0.021572062959857207,20000000000.0,70000000000.0,5.682260333741486e-12,3.620584701461225e-12,-12.22925998005335,-6.375321357619017
device_0094__Sparams.csv,441.83070264186495,311.7686063119178,0.1526743349304834,100000000000.0,80000000000.0,7.073931496197152e-12,2.5796261663668333e-12,-9.232399727677276,-9.919711045847102
device_0095__Sparams.csv,373.2994660336575,297.21396825381214,-0.24032116469387965,80000000000.0,100000000000.0,4.357617603811584e-12,3.2261039620990957e-12,-7.219901530296271,-4.076140771986813
device_0096__Sparams.csv,560.6202652243198,337.8756703927073,0.008655514902349148,20000000000.0,80000000000.0,5.65362050575016e-12,3.6325601087024846e-12,-13.317073827246782,-5.449611149284685
device_0097__Sparams.csv,518.0713181328979,267.49358329966054,0.0020763256039252886,20000000000.0,80000000000.0,5.105219229514244e-12,3.2784805215878423e-12,-12.596635365972293,-3.7659749478402924
device_0098__Sparams.csv,442.0745637387718,278.50900468048644,-0.280462456231781,60000000000.0,100000000000.0,4.374289228124561e-12,3.441138819883496e-12,-9.37717687474887,-3.547892006359772
device_0099__Sparams.csv,479.2722410359135,261.5472495865413,-0.20966755788023353,20000000000.0,100000000000.0,4.66187957681802e-12,2.9859595549942945e-12,-13.060253905170276,-3.5218251767706805
device_0100__Sparams.csv,439.12649367815317,344.16709821339646,-0.4361283628970952,60000000000.0,100000000000.0,3.9252889681203356e-12,3.0894796145848547e-12,-8.984083177491604,-3.5218251767706805
